idx,hit_term,whitespace_before,whitespace_after,boundary_cut_near,timestamps_in_window,pct_time_decreasing,near_total,near_proactive_event_tracker,near_triald,near_TRILogEvent,near_ABTest,near_variant,near_bucket
140,設定,No,No,No,21,0.143,43,15,22,0,0,6,0
141,確認,No,No,No,21,0.143,43,15,22,0,0,6,0
142,設定,No,No,No,21,0.143,43,15,22,0,0,6,0
143,確認,No,No,No,21,0.143,43,15,22,0,0,6,0
144,設定,No,No,No,21,0.143,43,15,22,0,0,6,0
145,確認,No,No,No,21,0.143,43,15,22,0,0,6,0
146,確認,No,No,No,21,0.143,43,15,22,0,0,6,0
147,確認,No,No,No,21,0.143,43,15,22,0,0,6,0
148,確認,No,No,No,19,0.158,43,15,22,0,0,6,0
149,確認,No,No,No,19,0.158,43,15,22,0,0,6,0
150,設定,No,No,No,20,0.2,41,14,21,0,0,6,0
151,設定,No,No,No,21,0.238,41,14,21,0,0,6,0
152,追跡,No,No,No,21,0.238,40,13,21,0,0,6,0
153,削除,No,No,No,21,0.238,40,13,21,0,0,6,0
154,設定,No,No,No,21,0.238,39,13,20,0,0,6,0
155,確認,No,No,No,21,0.238,38,12,20,0,0,6,0
156,監視,No,No,No,21,0.238,37,12,19,0,0,6,0
157,監視,No,No,No,22,0.227,33,10,17,0,0,6,0
158,監視,No,No,No,22,0.227,33,10,17,0,0,6,0
159,削除,No,No,No,23,0.261,31,9,16,0,0,6,0
160,追跡,No,No,No,31,0.355,13,1,7,0,0,5,0
161,監視,No,No,No,31,0.355,13,1,7,0,0,5,0
162,追跡,No,No,No,31,0.355,13,1,7,0,0,5,0
163,監視,No,No,No,31,0.355,13,1,7,0,0,5,0
164,監視,No,No,No,30,0.367,13,1,7,0,0,5,0
165,監視,No,No,No,30,0.367,12,1,7,0,0,4,0
166,削除,No,No,No,30,0.367,12,1,7,0,0,4,0
167,遮断,No,No,No,35,0.371,11,1,7,0,0,3,0
168,削除,No,No,No,35,0.371,10,1,6,0,0,3,0
169,追跡,No,No,No,35,0.371,9,0,6,0,0,3,0
170,確認,No,No,No,38,0.368,7,0,4,0,0,3,0
171,確認,No,No,No,38,0.368,5,0,2,0,0,3,0
172,確認,No,No,No,39,0.359,5,0,2,0,0,3,0
173,確認,No,No,No,39,0.359,3,0,0,0,0,3,0
174,設定,No,No,No,39,0.359,3,0,0,0,0,3,0
175,監視,No,No,No,39,0.359,3,0,0,0,0,3,0
176,遮断,No,No,No,39,0.359,3,0,0,0,0,3,0
177,監視,No,No,No,39,0.359,3,0,0,0,0,3,0
178,確認,No,No,No,41,0.366,3,0,0,0,0,3,0
179,確認,No,No,No,41,0.366,3,0,0,0,0,3,0
180,遮断,No,No,No,41,0.366,3,0,0,0,0,3,0
181,確認,No,No,No,41,0.366,3,0,0,0,0,3,0
182,確認,No,No,No,40,0.375,0,0,0,0,0,0,0
183,確認,No,No,No,40,0.375,0,0,0,0,0,0,0
184,確認,No,No,No,39,0.359,0,0,0,0,0,0,0
185,確認,No,No,No,39,0.359,0,0,0,0,0,0,0
186,確認,No,No,No,40,0.35,0,0,0,0,0,0,0
187,確認,No,No,No,39,0.359,0,0,0,0,0,0,0
188,遮断,No,No,No,40,0.325,0,0,0,0,0,0,0
189,遮断,No,No,No,40,0.325,0,0,0,0,0,0,0
190,遮断,No,No,No,40,0.325,0,0,0,0,0,0,0
191,遮断,No,No,No,40,0.325,0,0,0,0,0,0,0
192,監視,No,No,No,40,0.325,0,0,0,0,0,0,0
193,追跡,No,No,No,40,0.325,0,0,0,0,0,0,0
194,設定,No,No,No,37,0.324,0,0,0,0,0,0,0
195,設定,No,No,No,37,0.324,0,0,0,0,0,0,0
196,監視,No,No,No,37,0.324,0,0,0,0,0,0,0
197,追跡,No,No,No,37,0.324,0,0,0,0,0,0,0
198,遮断,No,No,No,38,0.316,0,0,0,0,0,0,0
199,監視,No,No,No,37,0.324,0,0,0,0,0,0,0
200,設定,No,No,No,38,0.316,0,0,0,0,0,0,0
201,監視,No,No,No,39,0.282,0,0,0,0,0,0,0
202,確認,No,No,No,39,0.282,0,0,0,0,0,0,0
203,確認,No,No,No,39,0.282,0,0,0,0,0,0,0
204,確認,No,No,No,39,0.282,0,0,0,0,0,0,0
205,設定,No,No,No,39,0.282,0,0,0,0,0,0,0
206,確認,No,No,No,39,0.282,0,0,0,0,0,0,0
207,確認,No,No,No,39,0.282,0,0,0,0,0,0,0
