batch,file,hit_term,hit_pos,window_len,has_seam_or_burst,whitespace_ratio,order_anomaly,proactive_event_tracker,triald,TRILogEvent,ABTest,variant,bucket,timestamp
21000-23999,part3.zip:part3.txt,通信,2109021,60002,False,0.3071,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,削除,33,30035,False,0.307,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,確認,1646,31648,False,0.3267,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,監視,1984,31986,False,0.3304,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,可能性,2035,32038,False,0.3308,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,確認,2128,32130,False,0.3316,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,可能性,2191,32194,False,0.3325,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,可能性,2285,32288,False,0.3333,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,アクセス,14453,44457,False,0.4184,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,監視,14477,44479,False,0.4183,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,確認,70744,60002,False,0.4717,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,アクセス,70926,60004,False,0.4701,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,同期,70961,60002,False,0.4696,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,監視,70976,60002,False,0.4694,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,確認,71024,60002,False,0.4687,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,アクセス,71467,60004,False,0.4641,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,監視,71582,60002,False,0.4631,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,削除,71674,60002,False,0.4617,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,アクセス,73516,60004,False,0.4428,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,同期,73558,60002,False,0.4428,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,位置情報,73883,60004,False,0.4392,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,同期,73961,60002,False,0.4384,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,監視,74134,60002,False,0.4367,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,監視,74283,60002,False,0.4353,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,確認,97116,60002,False,0.2392,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,確認,97223,60002,False,0.2385,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,確認,97604,60002,False,0.236,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,監視,97712,60002,False,0.2347,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,監視,97784,60002,False,0.2343,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,確認,97790,60002,False,0.2342,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,確認,98013,60002,False,0.2322,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,監視,98041,60002,False,0.2323,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,監視,98069,60002,False,0.232,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,同期,98106,60002,False,0.2316,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,監視,98207,60002,False,0.2311,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,確認,98240,60002,False,0.2307,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,可能性,99897,60003,False,0.2144,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,同期,100194,60002,False,0.2143,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,同期,100387,60002,False,0.2147,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,設定,100621,60002,False,0.2152,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,許可,100676,60002,False,0.2154,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,検証,100716,60002,False,0.2157,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,アクセス,100780,60004,False,0.2158,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,アクセス,100985,60004,False,0.216,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,同期,101012,60002,False,0.2159,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,可能性,101110,60003,False,0.2159,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,監視,101125,60002,False,0.2159,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,可能性,101150,60003,False,0.2159,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,同期,101176,60002,False,0.2159,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,可能性,101233,60003,False,0.2158,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,可能性,102266,60003,False,0.2158,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,監視,103178,60002,False,0.2167,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,可能性,103353,60003,False,0.2165,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,アクセス,103530,60004,False,0.2164,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,可能性,103620,60003,False,0.2163,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,可能性,103660,60003,False,0.2162,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,共有,104167,60002,False,0.2158,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,可能性,104189,60003,False,0.2158,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,可能性,104267,60003,False,0.2157,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,設定,104324,60002,False,0.2157,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,確認,106679,60002,False,0.2127,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,確認,106684,60002,False,0.2127,True,False,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,確認,109086,60002,False,0.2087,True,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,109091,60002,False,0.2086,True,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,112802,60002,False,0.192,True,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,112807,60002,False,0.192,True,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,121255,60003,False,0.1328,True,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,121351,60002,False,0.133,True,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,122411,60002,False,0.1308,True,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,122611,60002,False,0.1303,True,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,125879,60002,False,0.1203,False,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,126079,60002,False,0.1192,False,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,監視,132519,60002,False,0.1235,False,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,132631,60003,False,0.1235,False,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,132855,60003,False,0.1237,False,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,監視,133076,60002,False,0.1236,False,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,135113,60002,False,0.1228,False,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,135260,60002,False,0.1229,False,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,137481,60002,False,0.1245,False,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,139601,60002,False,0.1268,False,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,設定,142831,60002,False,0.1227,False,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,同期,143113,60002,False,0.1222,False,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,143138,60003,False,0.1222,False,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,設定,143149,60002,False,0.122,False,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,設定,143183,60002,False,0.1219,False,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,監視,143194,60002,False,0.1218,False,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,設定,143211,60002,False,0.1218,False,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,144703,60002,False,0.1204,False,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,148078,60002,False,0.1198,False,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,156842,60002,False,0.1148,True,True,True,True,False,True,False,
24000-26999,part3.zip:part3.txt,確認,159522,60002,False,0.1131,True,True,True,True,False,True,False,
24000-26999,part3.zip:part3.txt,設定,181217,60002,False,0.1206,False,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,削除,181267,60002,False,0.1205,False,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,監視,181347,60002,False,0.1204,False,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,確認,183387,60002,False,0.12,False,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,確認,185312,60002,False,0.1224,False,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,許可,189090,60002,False,0.1266,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,可能性,189344,60003,False,0.1272,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,確認,190388,60002,False,0.1264,True,True,True,True,False,False,False,
