hit_index,term,start,end
965,復元,1677273,1677275
966,設定,1677308,1677310
967,確認,1677321,1677323
968,設定,1677392,1677394
969,設定,1677434,1677436
970,確認,1679733,1679735
971,監視,1680033,1680035
972,確認,1682871,1682873
973,確認,1683100,1683102
974,監視,1685095,1685097
975,確認,1685563,1685565
976,削除,1685701,1685703
977,確認,1688641,1688643
978,確認,1689426,1689428
979,確認,1689661,1689663
980,遮断,1689945,1689947
981,遮断,1691692,1691694
982,遮断,1691805,1691807
983,確認,1692299,1692301
984,監視,1692420,1692422
985,確認,1692604,1692606
986,監視,1692695,1692697
987,遮断,1692705,1692707
988,確認,1695667,1695669
989,遮断,1695762,1695764
990,遮断,1697084,1697086
991,遮断,1697830,1697832
992,遮断,1698010,1698012
993,確認,1698084,1698086
994,遮断,1699807,1699809
995,遮断,1700161,1700163
996,認証,1702960,1702962
997,認証,1703127,1703129
998,認証,1703149,1703151
999,確認,1703356,1703358
1000,遮断,1703450,1703452
1001,遮断,1703726,1703728
1002,確認,1706254,1706256
1003,確認,1706924,1706926
1004,確認,1707108,1707110
1005,遮断,1707185,1707187
1006,監視,1709137,1709139
1007,確認,1709816,1709818
1008,遮断,1709937,1709939
1009,確認,1709967,1709969
1010,監視,1710102,1710104
1011,確認,1711826,1711828
1012,遮断,1712328,1712330
1013,遮断,1712447,1712449
1014,遮断,1712728,1712730
1015,確認,1715939,1715941
1016,確認,1718628,1718630
1017,設定,1720950,1720952
1018,設定,1720961,1720963
1019,確認,1721159,1721161
1020,設定,1721199,1721201
1021,設定,1721238,1721240
1022,設定,1721315,1721317
1023,確認,1721354,1721356
1024,確認,1721384,1721386
1025,設定,1721580,1721582
1026,設定,1721673,1721675
1027,監視,1722012,1722014
1028,設定,1722136,1722138
1029,確認,1724495,1724497
1030,監視,1724878,1724880
1031,設定,1724997,1724999
1032,設定,1725428,1725430
1033,確認,1725455,1725457
1034,監視,1725493,1725495
1035,設定,1725511,1725513
1036,削除,1725556,1725558
1037,設定,1727685,1727687
1038,許可,1727709,1727711
1039,設定,1727768,1727770
1040,設定,1727823,1727825
1041,監視,1728006,1728008
1042,確認,1728047,1728049
1043,設定,1728278,1728280
1044,設定,1728671,1728673
1045,確認,1728693,1728695
1046,削除,1728696,1728698
1047,設定,1731095,1731097
1048,共有,1731185,1731187
1049,設定,1731541,1731543
1050,削除,1731571,1731573
1051,確認,1731577,1731579
1052,設定,1731587,1731589
1053,復元,1731697,1731699
1054,監視,1734111,1734113
1055,監視,1736308,1736310
1056,確認,1739155,1739157
1057,遮断,1740875,1740877
1058,遮断,1741144,1741146
1059,遮断,1741175,1741177
1060,遮断,1741492,1741494
1061,遮断,1741843,1741845
1062,遮断,1741891,1741893
1063,確認,1742806,1742808
1064,確認,1743493,1743495
1065,確認,1743931,1743933
1066,確認,1747214,1747216
1067,確認,1747334,1747336
1068,確認,1747615,1747617
1069,遮断,1747747,1747749
1070,遮断,1748064,1748066
1071,確認,1748110,1748112
1072,確認,1748223,1748225
1073,遮断,1748241,1748243
1074,遮断,1751864,1751866
1075,遮断,1752539,1752541
1076,確認,1752590,1752592
1077,確認,1752705,1752707
1078,確認,1757612,1757614
1079,遮断,1757741,1757743
1080,監視,1758225,1758227
1081,確認,1758257,1758259
1082,確認,1758347,1758349
1083,確認,1763069,1763071
1084,遮断,1763297,1763299
1085,確認,1763310,1763312
1086,遮断,1763329,1763331
1087,確認,1763518,1763520
1088,共有,1763545,1763547
1089,監視,1763637,1763639
1090,遮断,1763772,1763774
1091,設定,1763927,1763929
1092,監視,1764016,1764018
1093,確認,1764866,1764868
1094,確認,1765251,1765253
1095,遮断,1765526,1765528
1096,確認,1765636,1765638
1097,確認,1765814,1765816
1098,確認,1766915,1766917
1099,共有,1767204,1767206
1100,監視,1767363,1767365
1101,確認,1767792,1767794
1102,確認,1767814,1767816
1103,確認,1767896,1767898
1104,確認,1767921,1767923
1105,追跡,1768018,1768020
1106,確認,1770537,1770539
1107,監視,1780209,1780211
1108,確認,1780479,1780481
1109,確認,1780553,1780555
1110,認証,1782499,1782501
1111,設定,1782695,1782697
1112,確認,1782758,1782760
1113,確認,1783260,1783262
1114,確認,1783327,1783329
1115,設定,1785328,1785330
1116,確認,1790253,1790255
1117,許可,1790260,1790262
1118,遮断,1790535,1790537
1119,確認,1791090,1791092
1120,確認,1791115,1791117
1121,確認,1808231,1808233
1122,監視,1808524,1808526
1123,確認,1808584,1808586
1124,確認,1808930,1808932
1125,確認,1809071,1809073
1126,確認,1811085,1811087
1127,確認,1811157,1811159
1128,確認,1811336,1811338
1129,確認,1811450,1811452
1130,確認,1813923,1813925
1131,確認,1813954,1813956
1132,確認,1814081,1814083
1133,確認,1814465,1814467
1134,確認,1815269,1815271
1135,確認,1817227,1817229
